"Category","Relative Humidity (%)"
1950,42.4
1951,44.73
1952,45.18
1953,48.22
1954,48.33
1955,41.17
1956,43.91
1957,46.89
1958,44.14
1959,46.99
1960,45.36
1961,42.65
1962,45.46
1963,45.26
1964,46.87
1965,44.84
1966,42.94
1967,46.78
1968,45.85
1969,52.6
1970,45.61
1971,43.64
1972,47.28
1973,46.83
1974,44.59
1975,42.57
1976,47.82
1977,47.95
1978,50.15
1979,47.83
1980,48.61
1981,49.73
1982,50.29
1983,45.38
1984,46.1
1985,46.53
1986,45.78
1987,46.9
1988,48.33
1989,46.29
1990,47.81
1991,49.25
1992,50.38
1993,50.84
1994,49.94
1995,45.21
1996,45
1997,48.54
1998,48.42
1999,47.11
2000,46.21
2001,47.13
2002,48.21
2003,51.38
2004,47.83
2005,48.03
2006,45.96
2007,44.81
2008,45.17
2009,49.38
2010,44.48
2011,45.63
2012,44.5
2013,45.64
2014,44.55
2015,46.43
2016,45.56
2017,45.21
2018,42.59
2019,44.89
2020,44.68
2021,40.52
2022,45.05
2023,41.43
2024,46.98