"Category","Precipitation (Annual Mean mm)","5-year smooth (Gaussian Smooth)"
1901,394.91,450.01
1902,534.57,419.97
1903,360.19,391.97
1904,338.25,367.98
1905,325.64,350.17
1906,322.59,340.52
1907,396.69,340.72
1908,405.01,348.52
1909,259.6,358.86
1910,381.57,366.73
1911,389.22,367.08
1912,339.35,354.88
1913,324.15,329.67
1914,366.3,298.38
1915,262.49,268.68
1916,231.92,248.19
1917,111.54,244.69
1918,304.07,263.25
1919,270.7,297.43
1920,437.71,337.63
1921,473.38,373.9
1922,352.92,396.62
1923,397.83,396.8
1924,376.3,375.92
1925,239.96,343.62
1926,253.56,309.57
1927,208.04,283.48
1928,454.95,275
1929,318.47,287.93
1930,291.55,314.82
1931,374.36,347.01
1932,371.21,375.93
1933,324.31,392.78
1934,394.56,390.99
1935,436.08,374.34
1936,290.22,349.88
1937,362.7,324.92
1938,293.26,306.54
1939,241.07,301.48
1940,282.67,309.98
1941,385.31,326.56
1942,421.44,345.68
1943,424.96,361.75
1944,255.23,369.22
1945,425.82,365.62
1946,278.11,355.15
1947,314.77,342.85
1948,320.69,333.72
1949,393.47,332.86
1950,267.77,344.08
1951,422.66,364.18
1952,360.58,387.44
1953,587.36,407.95
1954,391.87,419.96
1955,318.24,417.97
1956,318.93,402.14
1957,324.91,378.24
1958,480.16,352.11
1959,355.25,329.64
1960,389.4,316.66
1961,214.42,316.51
1962,284.52,326.07
1963,422.11,341.36
1964,333.55,358.45
1965,303.96,373.25
1966,423.47,382.32
1967,318.76,385.54
1968,339.72,384.2
1969,691.79,379.59
1970,320.17,373.04
1971,203,365.81
1972,446.18,358.83
1973,300.47,352.73
1974,328.72,348.05
1975,225.96,345.37
1976,359.93,345.25
1977,498.69,347.9
1978,353.79,352.57
1979,362.25,358.31
1980,362.95,364.22
1981,419.92,369.34
1982,311.22,372.89
1983,302.3,375.08
1984,414.05,376.58
1985,356.35,378.09
1986,301.11,380.28
1987,556.71,383.83
1988,410.88,388.57
1989,279.98,393.35
1990,399.38,396.97
1991,423.38,398.23
1992,337.95,395.93
1993,570.51,389.68
1994,360.95,381.57
1995,209.45,374.17
1996,363.87,370.07
1997,291.52,371.84
1998,612.54,381.6
1999,439.32,397.32
2000,321.94,414.8
2001,311.21,429.7
2002,484.92,437.8
2003,518.66,434.94
2004,429.77,420.69
2005,347.74,399.79
2006,365.45,377.2
2007,363.81,357.93
2008,295.92,346.96
2009,400.89,347.61
2010,412.97,356.97
2011,385.19,370.8
2012,313.53,384.94
2013,359.34,395.06
2014,375.3,397.38
2015,451.92,392.24
2016,422.54,382.4
2017,351.55,370.78
2018,353.57,360.21
2019,374.5,353.5
2020,346.47,351.99
2021,275.09,354.79
2022,462.93,360.82
2023,273.15,369
2024,427.02,378.29