"Category","Average Minimum Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,3.08,3.36
1902,3.94,3.18
1903,2.44,3.01
1904,2.69,2.89
1905,2.75,2.82
1906,3.49,2.82
1907,2.83,2.92
1908,3.12,3.1
1909,3.6,3.32
1910,3.49,3.54
1911,2.71,3.73
1912,3.11,3.85
1913,3.85,3.89
1914,4.88,3.85
1915,5.45,3.76
1916,2.9,3.62
1917,4.29,3.46
1918,2.28,3.29
1919,2.17,3.12
1920,2.42,2.98
1921,3.02,2.88
1922,3.85,2.85
1923,2.6,2.89
1924,3.04,3
1925,3.32,3.14
1926,3.74,3.27
1927,3.63,3.35
1928,3.02,3.35
1929,2.37,3.26
1930,2.85,3.11
1931,3.19,2.94
1932,3.21,2.81
1933,3.37,2.74
1934,2.58,2.78
1935,2.95,2.91
1936,2.97,3.09
1937,2.33,3.29
1938,3.42,3.49
1939,3.84,3.65
1940,4.22,3.75
1941,4.63,3.8
1942,3.74,3.79
1943,2.84,3.72
1944,3.93,3.59
1945,2.8,3.41
1946,3.17,3.21
1947,3.79,3.02
1948,3.11,2.86
1949,2.34,2.78
1950,2.07,2.79
1951,3.07,2.87
1952,3.48,3
1953,3.74,3.14
1954,2.46,3.26
1955,3.95,3.33
1956,3.19,3.34
1957,2.36,3.33
1958,3.91,3.32
1959,3.39,3.33
1960,3.07,3.4
1961,4.03,3.54
1962,3.81,3.71
1963,4.44,3.88
1964,2.69,4.01
1965,4.13,4.06
1966,4.34,4.01
1967,4.03,3.87
1968,3.94,3.69
1969,2.69,3.51
1970,4.09,3.38
1971,4.18,3.34
1972,2.15,3.4
1973,3.89,3.54
1974,3.24,3.71
1975,3.99,3.9
1976,3.89,4.07
1977,4.54,4.2
1978,4.28,4.3
1979,4.52,4.36
1980,4.57,4.41
1981,4.91,4.43
1982,4,4.45
1983,4.8,4.45
1984,3.52,4.45
1985,4.1,4.44
1986,4.5,4.42
1987,4.68,4.41
1988,5.01,4.4
1989,3.92,4.39
1990,4.87,4.38
1991,4.5,4.38
1992,4.53,4.38
1993,3.81,4.38
1994,4.21,4.4
1995,4.73,4.45
1996,3.81,4.52
1997,4.97,4.63
1998,4.88,4.78
1999,5.38,4.97
2000,5.21,5.16
2001,5.3,5.34
2002,5.33,5.48
2003,5.12,5.56
2004,6.02,5.58
2005,5.53,5.55
2006,5.44,5.49
2007,5.39,5.42
2008,5.01,5.35
2009,5.47,5.31
2010,5.97,5.29
2011,5.13,5.27
2012,4.52,5.25
2013,5.8,5.23
2014,4.19,5.18
2015,5.85,5.13
2016,5.72,5.08
2017,4.78,5.07
2018,4.64,5.1
2019,5.62,5.21
2020,4.67,5.38
2021,5.49,5.62
2022,6.63,5.9
2023,6.63,6.22
2024,6.01,6.55