"Category","Temperature-based Excess Mortality (factor)"
1950,0.06
1951,0.05
1952,0.07
1953,0.05
1954,0.03
1955,0.13
1956,0.1
1957,0.04
1958,0.1
1959,0.02
1960,0.04
1961,0.06
1962,0.06
1963,0.04
1964,0.03
1965,0.05
1966,0.09
1967,0.06
1968,0.07
1969,0.03
1970,0.05
1971,0.06
1972,0.01
1973,0.07
1974,0.05
1975,0.1
1976,0.07
1977,0.09
1978,0.05
1979,0.08
1980,0.07
1981,0.03
1982,0.05
1983,0.1
1984,0.11
1985,0.07
1986,0.05
1987,0.05
1988,0.07
1989,0.04
1990,0.07
1991,0.03
1992,0.03
1993,0.04
1994,0.07
1995,0.09
1996,0.07
1997,0.1
1998,0.06
1999,0.06
2000,0.1
2001,0.08
2002,0.09
2003,0.07
2004,0.07
2005,0.08
2006,0.08
2007,0.06
2008,0.11
2009,0.04
2010,0.08
2011,0.12
2012,0.08
2013,0.1
2014,0.1
2015,0.14
2016,0.1
2017,0.11
2018,0.14
2019,0.14
2020,0.06
2021,0.17
2022,0.14
2023,0.25
2024,0.15