"Category","Average Mean Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,15.61,15.78
1902,16.25,15.55
1903,14.66,15.35
1904,15.19,15.18
1905,14.95,15.09
1906,15.64,15.08
1907,14.77,15.19
1908,15.54,15.39
1909,16.37,15.63
1910,15.67,15.86
1911,15.02,16.06
1912,15.84,16.15
1913,15.89,16.14
1914,16.66,16.04
1915,17.28,15.88
1916,15.04,15.69
1917,16.46,15.5
1918,14.71,15.33
1919,14.8,15.19
1920,13.86,15.1
1921,14.92,15.05
1922,16.06,15.05
1923,14.72,15.11
1924,15.2,15.21
1925,16.07,15.31
1926,15.82,15.39
1927,15.73,15.4
1928,14.64,15.32
1929,14.43,15.14
1930,14.68,14.91
1931,14.67,14.69
1932,14.91,14.53
1933,15.29,14.48
1934,14.14,14.6
1935,14.87,14.84
1936,15.46,15.16
1937,14.66,15.5
1938,15.72,15.8
1939,16.09,16.01
1940,16.47,16.12
1941,17.01,16.13
1942,15.77,16.07
1943,14.91,15.94
1944,16.2,15.76
1945,14.95,15.56
1946,15.47,15.35
1947,16.15,15.15
1948,15.46,15
1949,14.12,14.91
1950,14.33,14.9
1951,15,14.96
1952,15.36,15.06
1953,15.53,15.17
1954,14.45,15.27
1955,16.34,15.33
1956,15.42,15.34
1957,14.35,15.34
1958,15.81,15.33
1959,15.16,15.34
1960,14.97,15.4
1961,16.14,15.5
1962,15.69,15.64
1963,16.44,15.76
1964,14.58,15.85
1965,16.01,15.87
1966,16.26,15.81
1967,15.64,15.67
1968,15.67,15.5
1969,14.19,15.33
1970,16.05,15.2
1971,16.39,15.16
1972,13.71,15.2
1973,15.82,15.3
1974,14.9,15.44
1975,15.8,15.59
1976,15.3,15.72
1977,16.21,15.82
1978,15.86,15.89
1979,16.13,15.93
1980,16.19,15.97
1981,16.39,15.99
1982,15.49,16.03
1983,16.65,16.06
1984,15.07,16.09
1985,15.83,16.11
1986,16.13,16.1
1987,16.07,16.07
1988,16.7,16.01
1989,15.72,15.94
1990,16.43,15.88
1991,16.01,15.84
1992,15.81,15.84
1993,15.04,15.89
1994,15.78,15.98
1995,16.79,16.1
1996,15.53,16.24
1997,16.79,16.39
1998,16.38,16.53
1999,16.97,16.67
2000,16.87,16.8
2001,17.07,16.89
2002,16.94,16.96
2003,16.29,16.99
2004,17.38,16.99
2005,16.96,16.96
2006,16.93,16.91
2007,16.99,16.86
2008,16.42,16.82
2009,16.88,16.8
2010,17.51,16.79
2011,16.51,16.8
2012,16.18,16.82
2013,17.41,16.85
2014,16.1,16.9
2015,17.35,16.95
2016,17.71,17.02
2017,16.93,17.1
2018,16.98,17.2
2019,17.65,17.31
2020,16.59,17.45
2021,17.69,17.59
2022,17.94,17.74
2023,18.5,17.9
2024,17.64,18.07