"Category","Average Largest 5-Day Cumulative Precipitation (mm)"
1950,63.85
1951,44.69
1952,54.75
1953,51.42
1954,72.12
1955,53.49
1956,55.03
1957,51.54
1958,41.74
1959,41.06
1960,51.51
1961,44.96
1962,40.66
1963,45.95
1964,46.92
1965,43.92
1966,36.84
1967,51.18
1968,56.12
1969,73.56
1970,35
1971,36.47
1972,44.83
1973,67.78
1974,44.73
1975,40.26
1976,49.39
1977,39.36
1978,43.13
1979,42.49
1980,39.48
1981,48.78
1982,43.72
1983,39.08
1984,46.59
1985,40.07
1986,44.37
1987,54.13
1988,53.95
1989,44.49
1990,46.97
1991,84.17
1992,53.84
1993,46.76
1994,51.23
1995,53.46
1996,53.19
1997,46.9
1998,68.11
1999,42.05
2000,32.5
2001,26.11
2002,49.99
2003,51.96
2004,48.18
2005,51.44
2006,60.36
2007,62.06
2008,38.33
2009,61.76
2010,50.48
2011,52.48
2012,43.36
2013,35.42
2014,47.3
2015,41.6
2016,50.3
2017,60.91
2018,43.85
2019,49.23
2020,59.89
2021,40.94
2022,55.28
2023,46.19
2024,40.9