"Category","Average Maximum Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,20.36,20.39
1902,20.74,20.11
1903,19.12,19.86
1904,19.61,19.66
1905,19.29,19.53
1906,20.05,19.51
1907,19.13,19.61
1908,19.94,19.81
1909,21.22,20.07
1910,20.07,20.33
1911,19.54,20.54
1912,20.57,20.65
1913,20.04,20.65
1914,20.96,20.55
1915,21.81,20.4
1916,19.5,20.21
1917,20.99,20.03
1918,19.58,19.88
1919,19.89,19.77
1920,18.03,19.7
1921,19.2,19.66
1922,20.66,19.67
1923,19.29,19.72
1924,19.76,19.79
1925,21.04,19.85
1926,20.31,19.86
1927,20.18,19.8
1928,18.73,19.63
1929,18.75,19.35
1930,18.78,19.02
1931,18.33,18.72
1932,18.92,18.53
1933,19.42,18.51
1934,18.21,18.72
1935,19.08,19.12
1936,20.29,19.61
1937,19.36,20.12
1938,20.49,20.57
1939,20.78,20.87
1940,21.32,21.01
1941,21.92,21.02
1942,20.55,20.93
1943,19.44,20.77
1944,21.13,20.57
1945,19.68,20.37
1946,20.53,20.17
1947,21.35,19.99
1948,20.38,19.84
1949,18.6,19.74
1950,19.3,19.7
1951,19.61,19.7
1952,19.89,19.73
1953,19.73,19.78
1954,19.1,19.82
1955,21.46,19.85
1956,20.1,19.86
1957,18.57,19.85
1958,20.34,19.86
1959,19.44,19.88
1960,19.49,19.93
1961,20.85,20.02
1962,20.07,20.12
1963,21.05,20.21
1964,18.95,20.27
1965,20.41,20.26
1966,20.9,20.18
1967,19.81,20.04
1968,19.91,19.87
1969,18.06,19.7
1970,20.75,19.58
1971,21.14,19.52
1972,17.83,19.55
1973,20.3,19.63
1974,19.14,19.74
1975,20.08,19.85
1976,19.33,19.94
1977,20.28,20
1978,20.07,20.02
1979,20.42,20.04
1980,20.4,20.06
1981,20.55,20.1
1982,19.31,20.17
1983,21.02,20.26
1984,19.2,20.35
1985,20.27,20.42
1986,20.36,20.45
1987,20.33,20.41
1988,21.05,20.31
1989,20.27,20.19
1990,20.66,20.07
1991,20,20
1992,19.7,20
1993,19.12,20.1
1994,20.17,20.27
1995,21.64,20.49
1996,20.1,20.71
1997,21.16,20.9
1998,20.54,21.04
1999,21.33,21.12
2000,21.34,21.16
2001,21.51,21.16
2002,21.32,21.15
2003,20.17,21.14
2004,21.44,21.12
2005,21.16,21.11
2006,21.07,21.1
2007,21.33,21.09
2008,20.91,21.08
2009,21,21.06
2010,21.67,21.06
2011,20.72,21.06
2012,20.5,21.08
2013,21.46,21.12
2014,20.71,21.19
2015,21.45,21.28
2016,22.11,21.39
2017,21.56,21.5
2018,21.56,21.61
2019,21.78,21.7
2020,20.69,21.79
2021,22.33,21.86
2022,21.75,21.92
2023,22.77,21.98
2024,21.59,22.03