"Category","Precipitation amount during wettest days (mm)"
1950,5.79
1951,20.58
1952,23.52
1953,20.94
1954,22.22
1955,36.55
1956,20.37
1957,9.41
1958,10.64
1959,18.72
1960,21.35
1961,24.56
1962,15.53
1963,28.12
1964,38.17
1965,17.73
1966,23.72
1967,41.62
1968,23.52
1969,32.31
1970,13.82
1971,22.65
1972,7.68
1973,19.02
1974,9.54
1975,10.85
1976,28.09
1977,23.88
1978,22.66
1979,30.98
1980,27.34
1981,25.44
1982,14.34
1983,9.35
1984,11.34
1985,18.42
1986,20.82
1987,36.64
1988,10.8
1989,21.15
1990,27.35
1991,24.03
1992,28.25
1993,23.42
1994,30.13
1995,15.28
1996,12.26
1997,29.78
1998,25.26
1999,27.01
2000,4.79
2001,14.93
2002,25.32
2003,46.23
2004,19.96
2005,30.72
2006,13.85
2007,16.65
2008,16.14
2009,29.38
2010,18.59
2011,11.58
2012,12.4
2013,5.74
2014,12.1
2015,17.48
2016,17.85
2017,26.54
2018,16.03
2019,25.07
2020,24.32
2021,6.21
2022,27.28
2023,19.39
2024,25.91