"Category","Precipitation (mm)"
1950,178.2
1951,225.46
1952,264.1
1953,327.42
1954,282.83
1955,221.21
1956,239.3
1957,240.18
1958,279.8
1959,241.5
1960,214.8
1961,210.37
1962,219.24
1963,270.22
1964,277.33
1965,227.82
1966,200.91
1967,270.25
1968,247.95
1969,399.28
1970,216.56
1971,181.01
1972,259.06
1973,255.08
1974,199.26
1975,190.89
1976,259.77
1977,229.26
1978,311.04
1979,269.12
1980,272.03
1981,332.63
1982,232.31
1983,225.35
1984,237.04
1985,243.14
1986,217
1987,295.35
1988,282.91
1989,230.06
1990,259.14
1991,294.02
1992,286.84
1993,314.92
1994,261.32
1995,189.24
1996,194.05
1997,269.2
1998,321.09
1999,254.98
2000,184.18
2001,196.73
2002,325.12
2003,355.54
2004,274.2
2005,246.54
2006,230.64
2007,228.28
2008,181.95
2009,285.68
2010,223.86
2011,222.85
2012,220.57
2013,229.02
2014,227.03
2015,292.64
2016,280.68
2017,229.94
2018,215.86
2019,260.69
2020,220.77
2021,162.8
2022,239.9
2023,190.86
2024,269.62